event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",27-05-2021 15:30:00,Andrej Martin,Dusan Lajovic,0,2,0,0,3,15,player_1,Svk,Srb,119,39,https://www.flashscore.pl/zawodnik/martin-andrej/UXiCkoiq,https://www.flashscore.pl/zawodnik/lajovic-dusan/bJf33z45,3.3,1.36,3.25,1.35,3.45,1.32,3.45,1.31,3.45,1.32,3.15,1.31,3.04,1.33
"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",27-05-2021 17:00:00,Federico Delbonis,Roberto Carballes Baena,0,,,0,,,,Arg,Esp,52,98,https://www.flashscore.pl/zawodnik/delbonis-federico/E10L2won,https://www.flashscore.pl/zawodnik/carballes-baena-roberto/hj8fIZPg,1.5,2.7,1.45,2.75,1.41,2.95,1.39,3.0,1.42,2.95,1.37,2.85,1.41,2.69
"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",27-05-2021 15:35:00,Taro Daniel,Quentin Halys,0,1,0,0,3,0,player_2,Jpn,Fra,112,222,https://www.flashscore.pl/zawodnik/daniel-taro/h4fpmGci,https://www.flashscore.pl/zawodnik/halys-quentin/EDve8Ljh,1.38,3.1,1.37,3.05,,,1.36,3.15,1.36,3.15,1.37,2.9,1.35,2.94
"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",27-05-2021 15:35:00,Hugo Dellien,Oscar Otte,0,1,0,0,2,0,player_1,Bol,Ger,124,152,https://www.flashscore.pl/zawodnik/dellien-hugo/fkLRaqYe,https://www.flashscore.pl/zawodnik/otte-oscar/xMUA2R35,2.55,1.52,2.5,1.52,2.5,1.54,2.59,1.5,2.5,1.54,2.5,1.48,2.29,1.55
"ATP - SINGIEL: Parma (Włochy), ziemna - Ćwierćfinał",27-05-2021 16:00:00,Sebastian Korda,Yoshihito Nishioka,0,,,0,,,,Usa,Jpn,63,60,https://www.flashscore.pl/zawodnik/korda-sebastian/SYklCTPO,https://www.flashscore.pl/zawodnik/nishioka-yoshihito/neAMoGXa,1.53,2.65,1.45,2.7,1.4,2.95,1.44,2.8,1.45,2.85,1.42,2.65,1.41,2.69
"WTA - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",27-05-2021 14:50:00,Jaqueline Adina Cristian,Anhelina Kalinina,0,4 0,30,1,6 3,40,player_2,Rou,Ukr,152,139,https://www.flashscore.pl/zawodnik/cristian-jaqueline-adina/vo9FVe2A,https://www.flashscore.pl/zawodnik/kalinina-anhelina/zNoTPac0,3.65,1.29,3.55,1.27,3.3,1.34,3.75,1.27,3.7,1.27,3.5,1.27,3.04,1.33
"WTA - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",27-05-2021 15:40:00,Aleksandra Krunic,Olga Goworcowa,0,3,0,0,1,0,player_1,Srb,Blr,212,138,https://www.flashscore.pl/zawodnik/krunic-aleksandra/2HWgFEu7,https://www.flashscore.pl/zawodnik/gworcowa-olga/vswbtoVO,1.41,2.95,1.4,2.9,1.41,2.95,1.38,3.05,1.39,3.0,1.38,2.85,1.4,2.73
"WTA - SINGIEL: Strasbourg (Francja), ziemna - Ćwierćfinał",27-05-2021 15:05:00,Barbora Krejcikova,Jekatierina Aleksandrowa,0,6,0,0,6,0,player_1,Cze,Rus,38,33,https://www.flashscore.pl/zawodnik/krejcikova-barbora/2FyACZYi,https://www.flashscore.pl/zawodnik/aleksandrowa-jekatierina/dzbgeEFF,1.65,2.31,1.67,2.15,1.68,2.19,1.61,2.33,1.66,2.3,1.7,2.05,1.7,2.03
"WTA - SINGIEL: Strasbourg (Francja), ziemna - Ćwierćfinał",27-05-2021 17:30:00,Jule Niemeier,Arantxa Rus,0,,,0,,,,Ger,Ned,216,84,https://www.flashscore.pl/zawodnik/niemeier-jule/0flvkwYe,https://www.flashscore.pl/zawodnik/rus-arantxa/84GyAaXB,2.02,1.8,1.95,1.8,2.02,1.8,2.05,1.77,2.05,1.83,1.96,1.76,2.0,1.72
"ATP - DEBEL: Belgrade 2 (Serbia), ziemna - Półfinał",27-05-2021 15:00:00,Ivan Sabanov / Matej Sabanov,Jonathan Erlich / Andriej Wasilewskij,0,3 2,30,1,6 1,30,player_2, / , / , / 916, / ,https://www.flashscore.pl/zawodnik/sabanov-ivan/AwWJgY3H / https://www.flashscore.pl/zawodnik/sabanov-matej/b55Jxg4U,https://www.flashscore.pl/zawodnik/erlich-jonathan/vV1KYnNH / https://www.flashscore.pl/zawodnik/wasilewskij-andriej/z7VRhOfS,1.72,2.13,1.7,2.1,1.69,2.1,1.69,2.17,1.8,1.95,,,1.74,1.98
