event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 15:30:00,John Isner,Andriej Rublow,1,7 2,0,0,6 4,0,player_1,Usa,Rus,39,7,https://www.flashscore.pl/zawodnik/isner-john/Ym1rWFYa,https://www.flashscore.pl/zawodnik/rublow-andriej/AeAn4gP0,3.1,1.31,3.55,1.3,,,3.7,1.28,3.6,1.29,3.4,1.28,3.71,1.25
"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 17:00:00,Casper Ruud,Stefanos Tsitsipas,0,,,0,,,,Nor,Gre,22,5,https://www.flashscore.pl/zawodnik/ruud-casper/zN9UpRqp,https://www.flashscore.pl/zawodnik/tsitsipas-stefanos/hb6oWfc6,4.4,1.23,4.0,1.25,,,4.55,1.2,4.45,1.21,4.15,1.2,3.9,1.23
"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 18:30:00,Matteo Berrettini,Federico Delbonis,0,,,0,,,,Ita,Arg,10,77,https://www.flashscore.pl/zawodnik/berrettini-matteo/OhwtM7N8,https://www.flashscore.pl/zawodnik/delbonis-federico/E10L2won,1.3,3.15,1.25,4.0,1.23,4.2,1.23,4.25,1.21,4.5,1.2,4.15,1.25,3.71
"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 19:00:00,Daniel Evans,Alexander Zverev,0,,,0,,,,Gbr,Ger,26,6,https://www.flashscore.pl/zawodnik/evans-daniel/Ya9jkSU5,https://www.flashscore.pl/zawodnik/zverev-alexander/dGbUhw9m,4.1,1.26,4.35,1.22,4.5,1.21,4.7,1.19,4.65,1.19,4.3,1.19,4.23,1.2
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - Półfinał",06-05-2021 20:30:00,Aryna Sabalenka,Anastazja Pawluczenkowa,0,,,0,,,,Blr,Rus,7,41,https://www.flashscore.pl/zawodnik/sabalenka-aryna/vyhksgUB,https://www.flashscore.pl/zawodnik/pawluczenkowa-anastazja/2LhiB9IJ,1.23,4.7,1.22,4.35,1.21,4.5,1.19,4.65,1.21,4.6,1.21,4.05,1.2,4.04
"ATP - DEBEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 16:45:00,Alexander Bublik / Cristian Garin,Sander Gille / Joran Vliegen,0,,,0,,,, / , / ,44 / 25, / ,https://www.flashscore.pl/zawodnik/bublik-alexander/t0WN9vR6 / https://www.flashscore.pl/zawodnik/garin-cristian/U73k5I15,https://www.flashscore.pl/zawodnik/gille-sander/EZyz7Jle / https://www.flashscore.pl/zawodnik/vliegen-joran/K8zhJsFb,2.85,1.43,2.75,1.42,,,2.93,1.41,2.8,1.39,2.95,1.36,2.94,1.35
"ATP - DEBEL: Madryt (Hiszpania), ziemna - 1/8-finału",06-05-2021 16:45:00,Raven Klaasen / Ben McLachlan,Pierre-Hugues Herbert / Nicolas Mahut,0,,,0,,,, / , / , / ,85 / 246,https://www.flashscore.pl/zawodnik/klaasen-raven/tAxva4FL / https://www.flashscore.pl/zawodnik/mclachlan-ben/fJydprw9,https://www.flashscore.pl/zawodnik/herbert-pierre-hugues/vD0zNRBM / https://www.flashscore.pl/zawodnik/mahut-nicolas/6eIyTBO6,3.25,1.35,3.2,1.32,3.2,1.32,3.35,1.33,3.1,1.32,3.05,1.34,3.41,1.27
"CHALLENGER MĘŻCZYŹNI - SINGIEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 14:40:00,Jay Clarke,Guido Andreozzi,1,6 3 2,30,1,3 6 2,30,player_1,Gbr,Arg,233,221,https://www.flashscore.pl/zawodnik/clarke-jay/pWyUazPi,https://www.flashscore.pl/zawodnik/andreozzi-guido/jsEQiWCq,2.65,1.48,2.55,1.45,2.55,1.45,2.62,1.47,2.5,1.52,2.4,1.47,2.35,1.5
"CHALLENGER MĘŻCZYŹNI - SINGIEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 15:20:00,Joao Menezes,Juan Pablo Varillas,0,4 2,0,1,6 2,30,player_2,Bra,Per,199,150,https://www.flashscore.pl/zawodnik/menezes-joao/GGshOstg,https://www.flashscore.pl/zawodnik/varillas-juan-pablo/SdnbvebA,2.85,1.43,2.75,1.4,2.75,1.4,2.81,1.42,2.9,1.39,2.75,1.37,2.65,1.4
"CHALLENGER MĘŻCZYŹNI - SINGIEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 17:00:00,Leonardo Mayer,Alexandre Muller,0,,,0,,,,Arg,Fra,160,202,https://www.flashscore.pl/zawodnik/mayer-leonardo/fZ4BNf4Q,https://www.flashscore.pl/zawodnik/muller-alexandre/nLLdS9q0,1.66,2.24,1.62,2.15,,,1.65,2.21,1.64,2.2,1.61,2.14,1.6,2.14
"CHALLENGER KOBIETY - SINGIEL: Saint Malo (Francja), ziemna - 1/8-finału",06-05-2021 15:10:00,Wiktoria Tomowa,Wawrara Graczewa,0,4 4,15,1,6 2,40,player_2,Bul,Rus,126,96,https://www.flashscore.pl/zawodnik/tomowa-wiktoria/Ova6pdYE,https://www.flashscore.pl/zawodnik/graczewa-wawrara/MysmW1jf,2.33,1.61,2.25,1.57,,,2.38,1.58,2.35,1.62,2.2,1.56,2.14,1.6
"CHALLENGER MĘŻCZYŹNI - DEBEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 16:40:00,Luca Margaroli / Adil Shamasdin,Sergio Martos Gornes / Artem Sitak,0,,,0,,,, / , / , / ,1149 / ,https://www.flashscore.pl/zawodnik/margaroli-luca/8j7UdHcq / https://www.flashscore.pl/zawodnik/shamasdin-adil/6D8ElRKe,https://www.flashscore.pl/zawodnik/martos-gornes-sergio/W2z8B0yh / https://www.flashscore.pl/zawodnik/sitak-artem/vqyzTq42,1.92,1.82,1.9,1.8,1.9,1.8,1.94,1.84,1.86,1.83,1.89,1.79,1.92,1.75
"CHALLENGER MĘŻCZYŹNI - DEBEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 18:00:00,Sadio Doumbia / Fabien Reboul,Kimmer Coppejans / Joao Menezes,0,,,0,,,, / , / ,442 / 693,177 / 199,https://www.flashscore.pl/zawodnik/doumbia-sadio/GzTZDEtf / https://www.flashscore.pl/zawodnik/reboul-fabien/nDBQounf,https://www.flashscore.pl/zawodnik/coppejans-kimmer/67EJxseJ / https://www.flashscore.pl/zawodnik/menezes-joao/GGshOstg,1.66,2.14,1.62,2.1,1.64,2.12,1.67,2.17,1.66,2.1,1.6,2.16,1.6,2.14
"CHALLENGER MĘŻCZYŹNI - DEBEL: Biella 5 (Włochy), ziemna - Ćwierćfinał",06-05-2021 18:00:00,Joao Domingues / Pedro Sousa,Rafael Matos / Felipe Meligeni Rodrigues Alves,0,,,0,,,, / , / ,214 / 113,536 / 234,https://www.flashscore.pl/zawodnik/domingues-joao/W27uslC4 / https://www.flashscore.pl/zawodnik/sousa-pedro/Ua0dXxeO,https://www.flashscore.pl/zawodnik/matos-rafael/nokgCiD2 / https://www.flashscore.pl/zawodnik/meligeni-rodrigues-alves-felipe/rLEXNv74,3.2,1.32,3.1,1.3,3.15,1.31,3.25,1.33,3.0,1.33,3.15,1.29,3.22,1.28
"CHALLENGER MĘŻCZYŹNI - DEBEL: Praga (Czechy), ziemna - Ćwierćfinał",06-05-2021 15:40:00,Denys Molchanov / Aleksandr Niedowiesow Aleksandr,Marc Polmans / Serhij Stachowski,1,6 1 0,0,1,3 6 0,0,player_1, / , / , / 351,147 / 213,https://www.flashscore.pl/zawodnik/molchanov-denys/KSX2xKhA / https://www.flashscore.pl/zawodnik/niedowiesow-aleksandr/EkFHPEtE,https://www.flashscore.pl/zawodnik/polmans-marc/2TDsBEcH / https://www.flashscore.pl/zawodnik/stachowski-serhij/CYUHECXp,1.4,2.8,1.42,2.55,,,1.46,2.67,1.44,2.55,,,,
"CHALLENGER MĘŻCZYŹNI - DEBEL: Praga (Czechy), ziemna - Ćwierćfinał",06-05-2021 16:05:00,Roman Jebavy / Andrej Martin,Denis Kudla / Max Jacob Schnur,0,4,0,0,5,0,player_1, / , / , / 109,117 / ,https://www.flashscore.pl/zawodnik/jebavy-roman/659pm2N7 / https://www.flashscore.pl/zawodnik/martin-andrej/UXiCkoiq,https://www.flashscore.pl/zawodnik/kudla-denis/QFBrBWZf / https://www.flashscore.pl/zawodnik/schnur-max-jacob/pKDJhJha,1.57,2.31,1.55,2.25,,,1.58,2.34,1.57,2.25,1.56,2.2,1.56,2.22
