pl,angl
ziemna,grass courts
twarda,hard courts
półfinał,semi-finals
Półfinał,semi-finals
1/8-finału,1/8 final
Ćwierćfinał,quarter finals
Finał,final
MĘŻCZYŹNI ,Mens
KOBIETY,Womens
SINGIEL,Single
Kwalifikacje,qualifications
Abchazja,Abkhazia
Afganistan,Afganistan
Albania,albania
Algieria,Algeria
Andora,Andorra
Angola,Angola
Antigua I Barbuda,Antigua And Barbuda
Arabia Saudyjska,Saudi Arabia
Argentyna,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbejdżan,Azerbaijan
Bahamy,Bahamas
Bahrajn,Bahrain
Bangladesz,Bangladesh
Barbados,Barbados
Belgia,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Białoruś,Belarus
Birma,Burma
Boliwia,Bolivia
Bośnia I Hercegowina,Bosnia and Herzegovina
Botswana,Botswana
Brazylia,Brazil
Brunei,Brunei
Bułgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Chile,Chille
Chińska Republika Ludowa,People's Republic of China
Chorwacja,Croatia
Cypr,Cyprus
Cypr Północny,Northern Cyprus
Czad,Chad
Czarnogóra,Montenegro
Dania,Denmark
Demokratyczna Republika Konga,Democratic republic of Kongo
Dominika,Dominican
Dominikana,Dominican Republic
Dżibuti,Djibouti
Egipt,Egypt
Ekwador,Ecuador
Erytrea,Eritrea
Estonia,Estonia
Eswatini,SWAZILAND
Etiopia,Ethiopia
Fidżi,Fiji
Filipiny,Philippines
Finlandia,Finland
Francja,France
Gabon,Gabon
Gambia,Gambia
Ghana,Ghana
Górski Karabach,Nagorno-Karabakh
Grecja,Greece
Grenada,Grenada
Gruzja,Georgia
Gujana,Guiana
Gwatemala,Guatemala
Gwinea,Guinea
Gwinea Bissau,Guinea-Bissau
Gwinea Równikowa,Equatorial Guinea
Haiti,Haiti
Hiszpania,Spain
Honduras,Honduras
Indie,Indie
Indonezja,Indonesia
Irak,Iraq
Iran,Iran
Irlandia,Ireland
Islandia,Iceland
Izrael,Israel
Jamajka,Jamaica
Japonia,Japan
Jemen,Yemen
Jordania,Jordan
Kambodża,Cambodia
Kamerun,Cameroon
Kanada,Canada
Katar,Qatar
Kazachstan,Kazakhstan
Kenia,Kenya
Kirgistan,Kyrgyzstan
Kiribati,Kiribati
Kolumbia,Colombia
Komory,Comoros
Kongo,Kongo
Korea Południowa,South Korea
Korea Północna,North Korea
Kosowo,Kosovo
Kostaryka,Costa Rica
Kuba,Kuba
Kuwejt,Kuwait
Laos,Laos
Lesotho,Lesotho
Liban,Lebanon
Liberia,Liberia
Libia,Libya
Liechtenstein,Liechtenstein
Litwa,Lithuania
Luksemburg,Luxembourg
Łotwa,Latvia
Macedonia,Macedonia
Madagaskar,Madagascar
Malawi,Malawi
Malediwy,Maldives
Malezja,Malaysia
Mali,Mali
Malta,Malta
Maroko,Morocco
Mauretania,Mauretania
Mauritius,Mauritius
Meksyk,Mexico
Mikronezja,Micronesia
Mołdawia,Moldova
Monako,Monaco
Mongolia,Mongolia
Mozambik,Mozambique
Naddniestrze,Transnistria
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Niderlandy,Netherlands
Niemcy,Germany
Niger,Niger
Nigeria,Nigeria
Nikaragua,Nicaragua
Norwegia,Norway
Nowa Zelandia,New Zealand
Oman,Oman
Osetia Południowa,South Ossetia
Pakistan,Pakistan
Palau,Palau
Palestyna,Palestine
Panama,Panama
Papua Nowa Gwinea,Papua New Guinea
Paragwaj,Paraguay
Peru,Peru
Polska,Poland
Portugalia,Portugal
Republika Czeska,Czech Republic
Republika Południowej Afryki,South Africa
Republika Środkowoafrykańska,Central African Republic
Republika Zielonego Przylądka,Cape Verde
Rosja,Russia
Rumunia,Romania
Rwanda,Rwanda
Sahara Zachodnia,Western Sahara
Saint Kitts I Nevis,Saint Kitts I Nevis
Saint Lucia,Saint Lucia
Saint Vincent I Grenadyny,Saint Vincent and the Grenadines
Salwador,El Salvador
Samoa,Samoa
San Marino,San Marino
Senegal,Senegal
Serbia,Serbia
Seszele,Seychelles
Sierra Leone,Sierra Leone
Singapur,Singapore
Słowacja,Slovakia
Słowenia,Slovenia
Somalia,Somalia
Somaliland,Somaliland
Sri Lanka,Sri Lanka
USA,USA
Sudan,Sudan
Surinam,Surinam
Syria,Syria
Szwajcaria,Switzerland
Szwecja,Sweden
Tadżykistan,Tajikistan
Tajlandia,Thailand
Tajwan,Taiwan
Tanzania,Tanzania
Timor Wschodni,East Timor
Togo,Togo
Tonga,Tonga
Trynidad I Tobago,Trinidad and Tobago
Tunezja,Tunisia
Turcja,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraina,Ukraine
Urugwaj,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Watykan,Vatican
Wenezuela,Venezuela
Węgry,Hungary
Wielka Brytania,United Kingdom
Wietnam,Vietnam
Włochy,Italy
Wybrzeże Kości Słoniowej,Ivory Coast
Wyspy Marshalla,Marshall Islands
Wyspy Salomona,Solomon Islands
Wyspy Świętego Tomasza I Książęca,Sao Tome And Principe
Zambia,Zambia
Zimbabwe,Zimbabwe
Zjednoczone Emiraty Arabskie,United Arab Emirates
