match_time,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,event,player_1,player_2,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Lvbet,player_2_Lvbet,player_1_Pzbuk,player_2_Pzbuk,player_1_Totolotek,player_2_Totolotek
2021-05-04 16:40:00,1,6 6 5,30,1,2 7 3,15,player_1,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",Roberto Bautista-Agut,Marco Cecchinato,Esp,Ita,11,104,https://www.flashscore.pl/zawodnik/bautista-agut-roberto/riOJC5jb,https://www.flashscore.pl/zawodnik/cecchinato-marco/4zpGaSnG,1.3,3.55,1.32,3.4,NA,NA,1.28,3.65,1.28,3.4,1.28,3.6,1.27,3.54
2021-05-04 19:15:00,0,,,0,,,NA,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/16-finału",Alex De Minaur,Lloyd George Harris,Aus,Rsa,24,54,https://www.flashscore.pl/zawodnik/de-minaur-alex/EZgZ9Xfh,https://www.flashscore.pl/zawodnik/harris-lloyd-george/YyK3wlb0,1.48,2.7,1.5,2.6,NA,NA,1.46,2.73,1.46,2.55,1.46,2.75,1.4,2.82
2021-05-04 19:15:00,0,,,0,,,NA,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/16-finału",Dominic Thiem,Marcos Giron,Aut,Usa,4,91,https://www.flashscore.pl/zawodnik/thiem-dominic/dtwmvonR,https://www.flashscore.pl/zawodnik/giron-marcos/OWOgryOk,1.17,4.31,1.18,4.95,1.15,5.6,1.13,5.9,1.14,5.1,1.14,5.75,1.14,5.2
2021-05-04 16:40:00,1,6 6 5,30,1,2 7 3,15,player_1,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",Roberto Bautista-Agut,Marco Cecchinato,Esp,Ita,11,104,https://www.flashscore.pl/zawodnik/bautista-agut-roberto/riOJC5jb,https://www.flashscore.pl/zawodnik/cecchinato-marco/4zpGaSnG,1.3,3.55,1.32,3.4,NA,NA,1.28,3.65,1.28,3.4,1.28,3.6,1.27,3.54
2021-05-04 19:15:00,0,,,0,,,NA,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/16-finału",Alex De Minaur,Lloyd George Harris,Aus,Rsa,24,54,https://www.flashscore.pl/zawodnik/de-minaur-alex/EZgZ9Xfh,https://www.flashscore.pl/zawodnik/harris-lloyd-george/YyK3wlb0,1.48,2.7,1.5,2.6,NA,NA,1.46,2.73,1.46,2.55,1.46,2.75,1.4,2.82
2021-05-04 19:15:00,0,,,0,,,NA,"ATP - SINGIEL: Madryt (Hiszpania), ziemna - 1/16-finału",Dominic Thiem,Marcos Giron,Aut,Usa,4,91,https://www.flashscore.pl/zawodnik/thiem-dominic/dtwmvonR,https://www.flashscore.pl/zawodnik/giron-marcos/OWOgryOk,1.17,4.31,1.18,4.95,1.15,5.6,1.13,5.9,1.14,5.1,1.14,5.75,1.14,5.2
2021-05-04 17:10:00,1,7 6,4,0,5 6,5,player_1,"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",Anastazja Pawluczenkowa,Jennifer Brady,Rus,Usa,41,14,https://www.flashscore.pl/zawodnik/pawluczenkowa-anastazja/2LhiB9IJ,https://www.flashscore.pl/zawodnik/brady-jennifer/GKZ5NRSB,2.31,1.53,2.45,1.55,2.5,1.53,2.56,1.51,2.4,1.51,2.6,1.54,2.41,1.5
2021-05-04 20:35:00,0,,,0,,,NA,"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/8-finału",Maria Sakkari,Karolina Muchova,Gre,Cze,19,20,https://www.flashscore.pl/zawodnik/sakkari-maria/KjsokFUj,https://www.flashscore.pl/zawodnik/muchova-karolina/Or4Qa1ye,1.63,2.35,1.62,2.3,1.61,2.33,1.59,2.37,1.58,2.25,1.62,2.35,1.61,2.17
2021-05-04 18:35:00,1,6 0,0,0,3 0,0,player_2,"ATP - DEBEL: Madryt (Hiszpania), ziemna - 1/16-finału",Kevin Krawietz / Horia Tecau,Henri Kontinen / Edouard Roger-Vasselin, / , / ,682 / , / ,https://www.flashscore.pl/zawodnik/krawietz-kevin/EwLaAdNP / https://www.flashscore.pl/zawodnik/tecau-horia/CQrnHCpr,https://www.flashscore.pl/zawodnik/kontinen-henri/tzxEOHd9 / https://www.flashscore.pl/zawodnik/roger-vasselin-edouard/tGqyUJBE,1.71,2.1,1.7,2.1,1.7,2.08,1.7,2.15,1.73,2.03,1.71,2.05,1.61,2.17
2021-05-04 18:45:00,0,2,0,0,2,0,player_1,"WTA - DEBEL: Madryt (Hiszpania), ziemna - 1/8-finału",Madison Keys / Jessica Pegula,Barbora Krejcikova / Katerina Siniakova, / , / ,23 / 33,39 / 67,https://www.flashscore.pl/zawodnik/keys-madison/QwU996PK / https://www.flashscore.pl/zawodnik/pegula-jessica/KdojxrAR,https://www.flashscore.pl/zawodnik/krejcikova-barbora/2FyACZYi / https://www.flashscore.pl/zawodnik/siniakova-katerina/OKXs3Wah,3.45,1.3,3.4,1.3,NA,NA,3.6,1.29,3.3,1.29,3.3,1.29,3.21,1.3
