event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ATP - SINGIEL: Estoril (Portugalia), ziemna - 1/8-finału",29-04-2021 11:30:00,Pedro Martinez,Cameron Norrie,0,,,0,,,,Esp,Gbr,100,50,https://www.flashscore.pl/zawodnik/martinez-portero-pedro/WtiN88eD,https://www.flashscore.pl/zawodnik/norrie-cameron/pvzhJGY8,2.29,1.65,2.2,1.65,2.29,1.63,2.33,1.6,2.35,1.62,2.2,1.58,2.11,1.65
"ATP - SINGIEL: Estoril (Portugalia), ziemna - 1/8-finału",29-04-2021 14:00:00,Richard Gasquet,Cristian Garin,0,,,0,,,,Fra,Chi,52,22,https://www.flashscore.pl/zawodnik/gasquet-richard/GxY5TctR,https://www.flashscore.pl/zawodnik/garin-cristian/U73k5I15,3.55,1.31,3.4,1.3,3.55,1.3,3.65,1.28,3.6,1.29,3.3,1.29,3.41,1.27
"ATP - SINGIEL: Estoril (Portugalia), ziemna - 1/8-finału",29-04-2021 15:30:00,Denis Shapovalov,Corentin Moutet,0,,,0,,,,Can,Fra,14,73,https://www.flashscore.pl/zawodnik/shapovalov-denis/zXddgn9o,https://www.flashscore.pl/zawodnik/moutet-corentin/bX0EWcV9,1.45,2.8,1.45,2.7,1.45,2.8,1.43,2.84,1.45,2.8,1.42,2.65,1.44,2.59
"ATP - SINGIEL: Estoril (Portugalia), ziemna - 1/8-finału",29-04-2021 17:00:00,Pierre-Hugues Herbert,Albert Ramos-Vinolas,0,,,0,,,,Fra,Esp,86,46,https://www.flashscore.pl/zawodnik/herbert-pierre-hugues/vD0zNRBM,https://www.flashscore.pl/zawodnik/ramos-vinolas-albert/bHLexrv0,2.75,1.46,2.7,1.45,2.75,1.46,2.81,1.44,2.75,1.45,2.65,1.42,2.62,1.43
"ATP - SINGIEL: Monachium (Niemcy), ziemna - 1/8-finału",29-04-2021 11:00:00,Filip Krajinovic,Yannick Hanfmann,0,,,0,,,,Srb,Ger,36,98,https://www.flashscore.pl/zawodnik/krajinovic-filip/djfrlQJg,https://www.flashscore.pl/zawodnik/hanfmann-yannick/zLJYYbhm,1.48,2.75,1.47,2.65,1.46,2.75,1.44,2.8,1.45,2.75,1.43,2.6,1.43,2.62
"ATP - SINGIEL: Monachium (Niemcy), ziemna - 1/8-finału",29-04-2021 12:30:00,Federico Coria,Norbert Gombos,0,,,0,,,,Arg,Svk,90,95,https://www.flashscore.pl/zawodnik/coria-federico/vJdE1Bg7,https://www.flashscore.pl/zawodnik/gombos-norbert/bDFSqjSo,2.03,1.8,2.0,1.75,2.07,1.76,2.1,1.73,2.05,1.8,1.98,1.74,1.96,1.75
"ATP - SINGIEL: Monachium (Niemcy), ziemna - 1/8-finału",29-04-2021 12:30:00,Dominik Koepfer,Jan-Lennard Struff,0,,,0,,,,Ger,Ger,54,44,https://www.flashscore.pl/zawodnik/koepfer-dominik/AmrI05YH,https://www.flashscore.pl/zawodnik/struff-jan-lennard/Ek3bDDo2,2.06,1.66,2.25,1.65,2.3,1.62,2.35,1.6,2.25,1.66,2.2,1.6,2.25,1.57
"ATP - SINGIEL: Monachium (Niemcy), ziemna - 1/8-finału",29-04-2021 14:00:00,Nikoloz Basilaszwili,Daniel Elahi Galan Riveros,0,,,0,,,,Geo,Col,35,115,https://www.flashscore.pl/zawodnik/basilaszwili-nikoloz/Kb8ttRy2,https://www.flashscore.pl/zawodnik/galan-riveros-daniel-elahi/jgzV6009,1.8,2.04,1.8,1.95,1.79,2.04,1.76,2.07,1.8,2.05,1.75,1.97,1.78,1.93
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 11:00:00,Victoria Jimenez Kasintseva,Kiki Bertens,0,,,0,,,,And,Ned,901,10,https://www.flashscore.pl/zawodnik/jimenez-kasintseva-victoria/hU5bke4O,https://www.flashscore.pl/zawodnik/bertens-kiki/buIrcnlG,8.8,1.07,8.8,1.06,9.6,1.06,10.5,1.04,10.25,1.05,8.2,1.05,7.77,1.05
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 11:00:00,Angelique Kerber,Marketa Vondrousova,0,,,0,,,,Ger,Cze,26,21,https://www.flashscore.pl/zawodnik/kerber-angelique/AgIGoHjL,https://www.flashscore.pl/zawodnik/vondrousova-marketa/EgKYrSR5,2.9,1.42,2.8,1.42,2.9,1.42,2.97,1.4,2.8,1.46,2.7,1.41,2.65,1.42
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 11:00:00,Elina Switolina,Jil Belen Teichmann,0,,,0,,,,Ukr,Sui,5,40,https://www.flashscore.pl/zawodnik/switolina-elina/jyngIesG,https://www.flashscore.pl/zawodnik/teichmann-jil-belen/nTL4I2Xq,1.3,3.55,1.32,3.4,1.31,3.45,1.28,3.65,1.31,3.6,1.3,3.25,1.25,3.56
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 11:00:00,Jarosława Szwiedowa,Ons Jabeur,0,,,0,,,,Kaz,Tun,725,25,https://www.flashscore.pl/zawodnik/szwedowa-jaroslawa/nVkfk4Yl,https://www.flashscore.pl/zawodnik/jabeur-ons/f7a53rOM,11.0,1.04,10.75,1.04,11.0,1.04,12.0,1.03,11.0,1.04,9.6,1.03,9.94,1.02
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 12:30:00,Paula Badosa Gibert,Barbora Krejcikova,0,,,0,,,,Esp,Cze,62,39,https://www.flashscore.pl/zawodnik/badosa-gibert-paula/Wl76rX3I,https://www.flashscore.pl/zawodnik/krejcikova-barbora/2FyACZYi,1.85,1.97,1.9,1.9,1.85,1.97,1.77,2.05,1.76,2.15,1.76,1.98,1.85,1.85
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 12:30:00,Weronika Kudiermietowa,Jelena Wiesnina,0,,,0,,,,Rus,Rus,28,,https://www.flashscore.pl/zawodnik/kudiermietowa-weronika/GUIVvvjL,https://www.flashscore.pl/zawodnik/wiesnina-jelena/rmjaSOvE,1.08,8.2,1.08,7.65,,,1.06,8.8,1.07,8.75,1.07,7.1,1.08,6.45
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 12:30:00,Petra Kvitova,Marie Bouzkova,0,,,0,,,,Cze,Cze,12,56,https://www.flashscore.pl/zawodnik/kvitova-petra/0vypNf1t,https://www.flashscore.pl/zawodnik/bouzkova-marie/WMS3AdAb,1.25,4.2,1.25,4.0,1.23,4.2,1.21,4.3,1.23,4.35,1.22,3.9,1.21,3.93
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 12:30:00,Julia Putincewa,Johanna Konta,0,,,0,,,,Kaz,Gbr,30,18,https://www.flashscore.pl/zawodnik/putincewa-julia/W2BCKjLQ,https://www.flashscore.pl/zawodnik/konta-johanna/OpNrteQb,1.59,2.38,1.6,2.3,1.59,2.38,1.56,2.43,1.57,2.5,1.55,2.3,1.6,2.19
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 14:00:00,Ashleigh Barty,Shelby Rogers,0,,,0,,,,Aus,Usa,1,43,https://www.flashscore.pl/zawodnik/barty-ashleigh/Ag6k6zYM,https://www.flashscore.pl/zawodnik/rogers-shelby/jkHNR1ol,1.23,4.2,1.25,4.0,1.23,4.2,1.21,4.35,1.23,4.3,1.23,3.85,1.21,3.93
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 14:00:00,Su-Wei Hsieh,Tamara Zidansek,0,,,0,,,,Tpe,Slo,65,80,https://www.flashscore.pl/zawodnik/hsieh-su-wei/xEwwLD1l,https://www.flashscore.pl/zawodnik/zidansek-tamara/UiaMC9xj,4.4,1.21,4.25,1.22,,,4.6,1.2,4.3,1.23,,,4.04,1.2
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 14:00:00,Kateryna Kozłova,Laura Siegemund,0,,,0,,,,Ukr,Ger,137,59,https://www.flashscore.pl/zawodnik/kozlowa-kateryna/GhO8JUQF,https://www.flashscore.pl/zawodnik/siegemund-laura/ETkoNgxJ,2.95,1.4,2.85,1.42,2.95,1.4,3.05,1.38,3.05,1.4,2.85,1.38,2.89,1.36
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 14:00:00,Alison Riske,Iga Świątek,0,,,0,,,,Usa,Pol,27,17,https://www.flashscore.pl/zawodnik/riske-alison/vVcA2087,https://www.flashscore.pl/zawodnik/swiatek-iga/jNyZsXZe,9.0,1.08,8.65,1.07,9.0,1.07,9.6,1.05,9.5,1.06,7.5,1.06,7.27,1.06
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 15:30:00,Ana Bogdan,Anastasija Sevastova,0,,,0,,,,Rou,Lat,102,54,https://www.flashscore.pl/zawodnik/bogdan-ana/046jJj30,https://www.flashscore.pl/zawodnik/sevastova-anastasija/4SqBlqOQ,2.34,1.61,2.25,1.62,2.34,1.61,2.38,1.58,2.45,1.6,2.3,1.56,2.17,1.61
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 15:30:00,Petra Martic,Bernarda Pera,0,,,0,,,,Cro,Usa,24,70,https://www.flashscore.pl/zawodnik/martic-petra/r9RckFqs,https://www.flashscore.pl/zawodnik/pera-bernarda/My7MkGPr,1.9,1.91,1.9,1.9,1.9,1.91,1.86,1.94,1.9,1.95,1.85,1.88,1.85,1.85
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 15:30:00,Kristina Mladenovic,Belinda Bencic,0,,,0,,,,Fra,Sui,55,11,https://www.flashscore.pl/zawodnik/mladenovic-kristina/KjtjWuVS,https://www.flashscore.pl/zawodnik/bencic-belinda/ObGlDvu0,2.37,1.59,2.3,1.6,2.37,1.59,2.41,1.57,2.45,1.58,2.35,1.54,2.19,1.6
"WTA - SINGIEL: Madryt (Hiszpania), ziemna - 1/32-finału",29-04-2021 15:30:00,Garbine Muguruza,Sloane Stephens,0,,,0,,,,Esp,Usa,13,51,https://www.flashscore.pl/zawodnik/muguruza-garbine/tOyDbkxr,https://www.flashscore.pl/zawodnik/stephens-sloane/21U8Dqna,1.18,4.9,1.2,4.6,1.18,4.9,1.17,5.0,1.19,4.95,1.18,4.45,1.14,4.91
"ATP - DEBEL: Estoril (Portugalia), ziemna - Ćwierćfinał",29-04-2021 12:30:00,Nicholas Monroe / Frances Tiafoe,Raven Klaasen / Ben McLachlan,0,,,0,,,, / , / , / 64, / ,https://www.flashscore.pl/zawodnik/monroe-nicholas/rHLScXhG / https://www.flashscore.pl/zawodnik/tiafoe-frances/AHDLJaph,https://www.flashscore.pl/zawodnik/klaasen-raven/tAxva4FL / https://www.flashscore.pl/zawodnik/mclachlan-ben/fJydprw9,2.7,1.44,2.7,1.42,2.7,1.43,2.83,1.43,2.65,1.43,2.6,1.44,2.59,1.44
"ATP - DEBEL: Munich (Niemcy), ziemna - Ćwierćfinał",29-04-2021 14:00:00,Dustin Brown / Peter Gojowczyk,John Peers / Luke Saville,0,,,0,,,, / , / ,294 / 132, / 405,https://www.flashscore.pl/zawodnik/brown-dustin/4CLpo27k / https://www.flashscore.pl/zawodnik/gojowczyk-peter/8pY23HI2,https://www.flashscore.pl/zawodnik/peers-john/MNcbg3cc / https://www.flashscore.pl/zawodnik/saville-luke/Wfo6mrFq,3.9,1.25,3.8,1.25,3.8,1.24,4.05,1.24,3.9,1.22,3.8,1.22,3.73,1.23
